market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-THETA,2021-03-03T00:00:00,2021-03-03T09:00:00,4300.0,4600.0,4160.0,4580.0,1614815998478,14354436171.53498,3312957.82032559,4300.0,280.0,0.0651162791
KRW-THETA,2021-03-02T00:00:00,2021-03-02T09:00:00,3730.0,4430.0,3660.0,4300.0,1614729599946,33871747881.424942,8153569.35300128,3730.0,570.0,0.1528150134
KRW-THETA,2021-03-01T00:00:00,2021-03-01T09:00:00,3600.0,3760.0,3505.0,3730.0,1614643193006,4474092616.446898,1227292.05382773,3605.0,125.0,0.0346740638
KRW-THETA,2021-02-28T00:00:00,2021-02-28T09:00:00,3660.0,3720.0,3265.0,3605.0,1614556793329,4663915973.19506,1341261.59363367,3660.0,-55.0,-0.0150273224
KRW-THETA,2021-02-27T00:00:00,2021-02-27T09:00:00,3555.0,3760.0,3520.0,3660.0,1614470377177,6743546429.65812,1840712.0339687,3555.0,105.0,0.029535865
KRW-THETA,2021-02-26T00:00:00,2021-02-26T09:00:00,3455.0,3595.0,3300.0,3555.0,1614383999472,4688078568.991396,1353806.09741837,3455.0,100.0,0.0289435601
KRW-THETA,2021-02-25T00:00:00,2021-02-25T09:00:00,3775.0,3895.0,3400.0,3455.0,1614297598728,8769280307.214676,2408926.10942703,3775.0,-320.0,-0.0847682119
KRW-THETA,2021-02-24T00:00:00,2021-02-24T09:00:00,3450.0,4045.0,3240.0,3775.0,1614211199810,11987239264.354996,3200637.53284794,3450.0,325.0,0.0942028986
KRW-THETA,2021-02-23T00:00:00,2021-02-23T09:00:00,3805.0,4115.0,2875.0,3450.0,1614124774128,18127255377.09528,5286885.97757875,3805.0,-355.0,-0.0932982917
KRW-THETA,2021-02-22T00:00:00,2021-02-22T09:00:00,4100.0,4255.0,3250.0,3805.0,1614038395719,16583655729.048168,4359133.57301084,4105.0,-300.0,-0.0730816078
KRW-THETA,2021-02-21T00:00:00,2021-02-21T09:00:00,4235.0,4330.0,4020.0,4105.0,1613951997925,11654614259.03983,2834916.47272169,4235.0,-130.0,-0.0306965762
KRW-THETA,2021-02-20T00:00:00,2021-02-20T09:00:00,4210.0,4480.0,4090.0,4235.0,1613865599814,14201327819.295303,3319358.00531235,4215.0,20.0,0.0047449585
KRW-THETA,2021-02-19T00:00:00,2021-02-19T09:00:00,4010.0,4600.0,3935.0,4215.0,1613779199946,24679475656.919434,5975924.83265276,4005.0,210.0,0.0524344569
KRW-THETA,2021-02-18T00:00:00,2021-02-18T09:00:00,3845.0,4055.0,3845.0,4005.0,1613692789791,8472851913.314775,2140463.63528553,3845.0,160.0,0.0416124837
KRW-THETA,2021-02-17T00:00:00,2021-02-17T09:00:00,3795.0,3960.0,3615.0,3845.0,1613606389625,5005208880.024418,1323170.15485283,3795.0,50.0,0.0131752306
KRW-THETA,2021-02-16T00:00:00,2021-02-16T09:00:00,3705.0,3910.0,3610.0,3795.0,1613519986790,5784307900.283879,1549884.01253937,3720.0,75.0,0.0201612903
KRW-THETA,2021-02-15T00:00:00,2021-02-15T09:00:00,3480.0,4045.0,3300.0,3720.0,1613433590559,17902494518.124718,4792991.07098064,3455.0,265.0,0.0767004342
KRW-THETA,2021-02-14T00:00:00,2021-02-14T09:00:00,3600.0,3740.0,3300.0,3455.0,1613347174050,6424359330.487017,1823288.70253875,3600.0,-145.0,-0.0402777778
KRW-THETA,2021-02-13T00:00:00,2021-02-13T09:00:00,3220.0,3740.0,3215.0,3600.0,1613260786520,10743278837.092949,3099956.57392458,3220.0,380.0,0.1180124224
KRW-THETA,2021-02-12T00:00:00,2021-02-12T09:00:00,3155.0,3335.0,3110.0,3220.0,1613174372355,7652425248.198831,2384334.42752201,3140.0,80.0,0.025477707
KRW-THETA,2021-02-11T00:00:00,2021-02-11T09:00:00,3070.0,3250.0,3045.0,3140.0,1613087999477,6554916161.66104,2082589.52134128,3075.0,65.0,0.0211382114
KRW-THETA,2021-02-10T00:00:00,2021-02-10T09:00:00,3050.0,3220.0,2875.0,3075.0,1613001590724,9167009494.803226,3010972.88513213,3050.0,25.0,0.0081967213
KRW-THETA,2021-02-09T00:00:00,2021-02-09T09:00:00,3085.0,3220.0,2870.0,3050.0,1612915190495,8801283858.208422,2864418.21829687,3080.0,-30.0,-0.0097402597
KRW-THETA,2021-02-08T00:00:00,2021-02-08T09:00:00,2480.0,3115.0,2475.0,3080.0,1612828796587,15463744989.710728,5459192.8517308,2480.0,600.0,0.2419354839
KRW-THETA,2021-02-07T00:00:00,2021-02-07T09:00:00,2425.0,2500.0,2320.0,2480.0,1612742370437,2632950667.5262785,1090642.55239081,2430.0,50.0,0.0205761317
